global_idx,split,file,file_line_num,offset,duration,cs_type
0,test,maria1,0,0.714,2.554,cs
1,n/a,maria1,1,3.262,1.1090000000000004,n/a
2,n/a,maria1,2,4.859,3.3100000000000005,n/a
3,n/a,maria1,3,8.719,2.9030000000000005,n/a
4,test,maria1,5,12.304,2.1630000000000003,mono
5,n/a,maria1,6,14.465,3.7639999999999993,n/a
6,test,maria1,8,19.43,2.692,cs
7,n/a,maria1,10,22.596,1.0869999999999997,n/a
8,n/a,maria1,12,23.951,2.669999999999998,n/a
9,n/a,maria1,14,26.766,2.5150000000000006,n/a
10,n/a,maria1,15,29.246,1.1730000000000018,n/a
11,n/a,maria1,17,31.28,1.141999999999996,n/a
12,test,maria1,18,32.383,8.672999999999995,cs
13,n/a,maria1,20,42.52,0.5109999999999957,n/a
14,train,maria1,21,43.013,0.3890000000000029,mono
15,train,maria1,22,43.384,0.6210000000000022,mono
16,test,maria1,23,44.525,7.742000000000004,cs
17,n/a,maria1,25,52.612,0.4239999999999995,n/a
18,test,maria1,27,55.434,1.5560000000000045,mono
19,train,maria1,29,58.285,0.8000000000000043,mono
20,test,maria1,31,80.267,1.538000000000011,mono
21,test,maria1,32,81.924,1.6949999999999932,cs
22,test,maria1,33,85.924,0.8939999999999912,mono
23,test,maria1,34,87.201,1.1730000000000018,cs
24,test,maria1,35,88.291,1.3700000000000045,mono
25,test,maria1,37,91.158,1.6479999999999961,mono
26,train,maria1,39,94.34,2.6700000000000017,mono
27,train,maria1,41,100.931,1.4920000000000044,mono
28,test,maria1,43,105.421,2.141999999999996,mono
29,train,maria1,44,107.801,1.0100000000000051,mono
30,train,maria1,46,108.962,0.7659999999999911,mono
31,test,maria1,48,110.672,1.972999999999999,mono
32,test,maria1,50,112.581,0.8769999999999953,mono
33,test,maria1,51,113.47,1.3640000000000043,mono
34,test,maria1,52,115.436,2.1829999999999927,cs
35,test,maria1,54,119.506,1.0160000000000053,cs
36,test,maria1,55,120.482,1.2010000000000076,cs
37,n/a,maria1,57,123.383,1.2250000000000085,n/a
38,n/a,maria1,59,124.585,1.416000000000011,n/a
39,n/a,maria1,61,126.554,1.1559999999999917,n/a
40,n/a,maria1,62,127.651,2.269999999999996,n/a
